DATE,ICNSA
2/13/1982,532800
2/20/1982,522900
2/27/1982,536300
3/6/1982,566300
3/13/1982,515100
3/20/1982,510500
3/27/1982,501500
4/3/1982,516600
4/10/1982,606300
4/17/1982,540300
4/24/1982,518600
5/1/1982,475600
5/8/1982,516500
5/15/1982,486500
5/22/1982,486300
5/29/1982,485800
6/5/1982,478600
6/12/1982,541600
6/19/1982,508100
6/26/1982,507700
7/3/1982,594400
7/10/1982,631400
7/17/1982,647000
7/24/1982,576100
7/31/1982,562600
8/7/1982,569200
8/14/1982,536400
8/21/1982,510400
8/28/1982,502300
9/4/1982,537600
9/11/1982,467700
9/18/1982,559500
9/25/1982,535000
10/2/1982,565600
10/9/1982,638100
10/16/1982,540300
10/23/1982,577600
10/30/1982,576800
11/6/1982,604800
11/13/1982,546700
11/20/1982,650400
11/27/1982,574100
12/4/1982,709400
12/11/1982,638200
12/18/1982,598000
12/25/1982,653600
1/1/1983,745100
1/8/1983,976600
1/15/1983,773600
1/22/1983,650600
1/29/1983,597700
2/5/1983,594200
2/12/1983,525100
2/19/1983,506300
2/26/1983,448700
3/5/1983,497400
3/12/1983,459700
3/19/1983,427500
3/26/1983,422100
4/2/1983,423000
4/9/1983,509700
4/16/1983,464800
4/23/1983,431300
4/30/1983,399900
5/7/1983,435000
5/14/1983,385200
5/21/1983,380300
5/28/1983,373000
6/4/1983,351100
6/11/1983,390100
6/18/1983,369200
6/25/1983,383500
7/2/1983,397400
7/9/1983,451900
7/16/1983,459400
7/23/1983,428300
7/30/1983,383400
8/6/1983,382500
8/13/1983,382300
8/20/1983,356900
8/27/1983,323600
9/3/1983,328800
9/10/1983,288700
9/17/1983,326900
9/24/1983,324700
10/1/1983,318500
10/8/1983,390500
10/15/1983,319900
10/22/1983,354900
10/29/1983,356400
11/5/1983,398200
11/12/1983,347300
11/19/1983,431900
11/26/1983,362900
12/3/1983,458400
12/10/1983,442900
12/17/1983,414600
12/24/1983,496800
12/31/1983,558900
1/7/1984,621600
1/14/1984,637900
1/21/1984,475100
1/28/1984,448500
2/4/1984,408400
2/11/1984,381500
2/18/1984,349300
2/25/1984,329100
3/3/1984,350500
3/10/1984,344000
3/17/1984,323500
3/24/1984,317600
3/31/1984,291400
4/7/1984,390300
4/14/1984,330800
4/21/1984,326500
4/28/1984,309300
5/5/1984,318900
5/12/1984,312100
5/19/1984,294200
5/26/1984,292700
6/2/1984,268700
6/9/1984,333800
6/16/1984,309900
6/23/1984,316800
6/30/1984,329000
7/7/1984,432500
7/14/1984,435900
7/21/1984,396200
7/28/1984,343800
8/4/1984,348100
8/11/1984,328100
8/18/1984,321000
8/25/1984,303300
9/1/1984,303500
9/8/1984,289300
9/15/1984,320700
9/22/1984,313200
9/29/1984,304700
10/6/1984,373300
10/13/1984,353200
10/20/1984,378700
10/27/1984,380500
11/3/1984,413400
11/10/1984,397500
11/17/1984,370800
11/24/1984,387000
12/1/1984,494700
12/8/1984,477900
12/15/1984,443700
12/22/1984,482300
12/29/1984,527500
1/5/1985,568300
1/12/1985,770000
1/19/1985,537700
1/26/1985,478300
2/2/1985,452400
2/9/1985,473300
2/16/1985,404700
2/23/1985,379000
3/2/1985,377300
3/9/1985,389200
3/16/1985,360500
3/23/1985,346700
3/30/1985,329100
4/6/1985,398000
4/13/1985,397500
4/20/1985,351800
4/27/1985,324700
5/4/1985,335600
5/11/1985,339100
5/18/1985,324900
5/25/1985,328500
6/1/1985,293500
6/8/1985,368900
6/15/1985,339200
6/22/1985,339500
6/29/1985,349800
7/6/1985,409500
7/13/1985,481500
7/20/1985,413700
7/27/1985,358700
8/3/1985,365800
8/10/1985,358200
8/17/1985,319400
8/24/1985,314800
8/31/1985,317600
9/7/1985,304700
9/14/1985,332900
9/21/1985,317600
9/28/1985,301600
10/5/1985,355600
10/12/1985,358000
10/19/1985,331000
10/26/1985,375700
11/2/1985,375300
11/9/1985,404100
11/16/1985,380300
11/23/1985,423100
11/30/1985,384700
12/7/1985,504200
12/14/1985,443400
12/21/1985,458200
12/28/1985,548200
1/4/1986,547500
1/11/1986,803900
1/18/1986,568800
1/25/1986,395700
2/1/1986,425400
2/8/1986,438100
2/15/1986,374200
2/22/1986,382200
3/1/1986,381200
3/8/1986,371700
3/15/1986,361600
3/22/1986,363100
3/29/1986,333300
4/5/1986,366100
4/12/1986,386100
4/19/1986,348700
4/26/1986,335100
5/3/1986,333600
5/10/1986,343800
5/17/1986,319000
5/24/1986,321700
5/31/1986,278700
6/7/1986,342200
6/14/1986,324700
6/21/1986,327400
6/28/1986,336100
7/5/1986,377400
7/12/1986,456200
7/19/1986,402400
7/26/1986,370700
8/2/1986,370900
8/9/1986,376900
8/16/1986,326000
8/23/1986,310200
8/30/1986,307100
9/6/1986,283700
9/13/1986,320800
9/20/1986,315800
9/27/1986,294200
10/4/1986,328900
10/11/1986,357700
10/18/1986,313000
10/25/1986,332400
11/1/1986,334100
11/8/1986,357600
11/15/1986,347400
11/22/1986,410600
11/29/1986,350900
12/6/1986,462700
12/13/1986,438600
12/20/1986,423800
12/27/1986,483900
1/3/1987,483977
1/10/1987,710493
1/17/1987,545768
1/24/1987,412977
1/31/1987,435743
2/7/1987,444240
2/14/1987,359219
2/21/1987,332930
2/28/1987,355357
3/7/1987,343065
3/14/1987,321153
3/21/1987,313104
3/28/1987,288648
4/4/1987,308940
4/11/1987,344364
4/18/1987,305201
4/25/1987,285566
5/2/1987,277726
5/9/1987,276773
5/16/1987,283832
5/23/1987,286150
5/30/1987,242793
6/6/1987,299672
6/13/1987,281043
6/20/1987,285191
6/27/1987,294288
7/4/1987,321855
7/11/1987,402706
7/18/1987,361491
7/25/1987,339756
8/1/1987,309433
8/8/1987,296403
8/15/1987,256647
8/22/1987,245058
8/29/1987,243829
9/5/1987,255589
9/12/1987,210375
9/19/1987,243651
9/26/1987,242206
10/3/1987,244736
10/10/1987,291075
10/17/1987,242157
10/24/1987,271190
10/31/1987,261036
11/7/1987,306340
11/14/1987,286334
11/21/1987,354037
11/28/1987,288614
12/5/1987,412297
12/12/1987,372869
12/19/1987,384763
12/26/1987,397287
1/2/1988,465503
1/9/1988,654620
1/16/1988,577975
1/23/1988,412685
1/30/1988,394776
2/6/1988,380906
2/13/1988,334833
2/20/1988,315497
2/27/1988,324517
3/5/1988,312409
3/12/1988,294321
3/19/1988,275545
3/26/1988,269000
4/2/1988,256607
4/9/1988,319713
4/16/1988,273160
4/23/1988,272440
4/30/1988,247619
5/7/1988,267315
5/14/1988,257101
5/21/1988,259640
5/28/1988,255852
6/4/1988,235308
6/11/1988,268052
6/18/1988,264100
6/25/1988,268770
7/2/1988,290079
7/9/1988,335780
7/16/1988,377872
7/23/1988,384920
7/30/1988,311475
8/6/1988,293718
8/13/1988,261066
8/20/1988,253359
8/27/1988,241809
9/3/1988,243944
9/10/1988,220226
9/17/1988,247250
9/24/1988,236230
10/1/1988,226453
10/8/1988,276732
10/15/1988,237722
10/22/1988,264201
10/29/1988,265794
11/5/1988,293412
11/12/1988,257201
11/19/1988,335818
11/26/1988,281841
12/3/1988,391406
12/10/1988,354028
12/17/1988,354768
12/24/1988,413175
12/31/1988,474226
1/7/1989,544138
1/14/1989,519727
1/21/1989,364499
1/28/1989,361331
2/4/1989,340647
2/11/1989,365301
2/18/1989,317676
2/25/1989,288690
3/4/1989,333669
3/11/1989,325019
3/18/1989,291112
3/25/1989,276369
4/1/1989,275799
4/8/1989,321723
4/15/1989,275240
4/22/1989,271002
4/29/1989,247646
5/6/1989,275425
5/13/1989,275507
5/20/1989,260543
5/27/1989,266146
6/3/1989,243246
6/10/1989,295499
6/17/1989,285589
6/24/1989,295338
7/1/1989,319577
7/8/1989,364594
7/15/1989,423847
7/22/1989,365026
7/29/1989,320773
8/5/1989,311584
8/12/1989,291429
8/19/1989,261419
8/26/1989,254488
9/2/1989,259540
9/9/1989,239989
9/16/1989,271903
9/23/1989,262895
9/30/1989,265310
10/7/1989,375972
10/14/1989,284584
10/21/1989,315473
10/28/1989,317538
11/4/1989,336759
11/11/1989,303556
11/18/1989,377814
11/25/1989,316458
12/2/1989,443684
12/9/1989,426514
12/16/1989,420795
12/23/1989,534261
12/30/1989,515926
1/6/1990,581679
1/13/1990,730995
1/20/1990,485424
1/27/1990,440748
2/3/1990,432922
2/10/1990,429764
2/17/1990,364616
2/24/1990,341969
3/3/1990,361937
3/10/1990,355935
3/17/1990,325164
3/24/1990,306391
3/31/1990,297117
4/7/1990,372079
4/14/1990,315624
4/21/1990,324936
4/28/1990,294785
5/5/1990,304160
5/12/1990,299266
5/19/1990,287082
5/26/1990,295476
6/2/1990,273910
6/9/1990,321727
6/16/1990,305690
6/23/1990,316999
6/30/1990,326407
7/7/1990,419256
7/14/1990,448952
7/21/1990,407676
7/28/1990,353149
8/4/1990,336997
8/11/1990,330678
8/18/1990,313804
8/25/1990,302267
9/1/1990,305510
9/8/1990,277768
9/15/1990,323246
9/22/1990,306549
9/29/1990,308080
10/6/1990,361538
10/13/1990,356203
10/20/1990,387444
10/27/1990,394598
11/3/1990,424771
11/10/1990,463874
11/17/1990,433003
11/24/1990,422676
12/1/1990,568583
12/8/1990,574323
12/15/1990,523403
12/22/1990,637449
12/29/1990,649471
1/5/1991,651775
1/12/1991,872742
1/19/1991,691092
1/26/1991,511360
2/2/1991,563060
2/9/1991,574760
2/16/1991,498200
2/23/1991,492325
3/2/1991,504023
3/9/1991,514410
3/16/1991,470801
3/23/1991,477877
3/30/1991,412904
4/6/1991,448082
4/13/1991,459364
4/20/1991,433912
4/27/1991,385153
5/4/1991,384458
5/11/1991,382113
5/18/1991,366492
5/25/1991,365117
6/1/1991,320632
6/8/1991,397682
6/15/1991,369074
6/22/1991,371232
6/29/1991,370372
7/6/1991,427161
7/13/1991,517888
7/20/1991,454655
7/27/1991,408098
8/3/1991,397522
8/10/1991,385740
8/17/1991,344969
8/24/1991,329287
8/31/1991,328040
9/7/1991,302187
9/14/1991,342419
9/21/1991,333110
9/28/1991,334206
10/5/1991,366862
10/12/1991,388370
10/19/1991,344189
10/26/1991,380253
11/2/1991,427789
11/9/1991,473432
11/16/1991,417766
11/23/1991,503032
11/30/1991,433180
12/7/1991,610113
12/14/1991,554059
12/21/1991,555747
12/28/1991,625772
1/4/1992,652046
1/11/1992,882118
1/18/1992,687914
1/25/1992,504838
2/1/1992,508594
2/8/1992,537238
2/15/1992,469794
2/22/1992,429723
2/29/1992,454987
3/7/1992,434426
3/14/1992,417282
3/21/1992,413180
3/28/1992,370883
4/4/1992,393384
4/11/1992,412948
4/18/1992,366621
4/25/1992,364454
5/2/1992,363794
5/9/1992,364100
5/16/1992,341425
5/23/1992,343432
5/30/1992,305080
6/6/1992,374978
6/13/1992,369067
6/20/1992,369995
6/27/1992,370373
7/4/1992,395505
7/11/1992,506050
7/18/1992,452468
7/25/1992,554590
8/1/1992,382138
8/8/1992,366092
8/15/1992,322729
8/22/1992,312436
8/29/1992,309806
9/5/1992,339006
9/12/1992,299189
9/19/1992,345093
9/26/1992,315455
10/3/1992,326938
10/10/1992,353504
10/17/1992,310235
10/24/1992,333005
10/31/1992,331922
11/7/1992,392213
11/14/1992,348011
11/21/1992,401972
11/28/1992,317218
12/5/1992,449726
12/12/1992,424677
12/19/1992,396619
12/26/1992,392612
1/2/1993,487466
